date,regime,prev_exposure,new_exposure,turnover
2025-06-20,RANGE_BOUND,0.0,0.4,0.4
2025-06-24,RANGE_BOUND,0.4,0.2,0.2
2025-06-25,RANGE_BOUND,0.2,0.4,0.2
2025-06-27,RISK_ON,0.4,1.0,0.6
2025-07-13,EUPHORIA,1.0,0.3,0.7
2025-07-17,EUPHORIA,0.3,1.0,0.7
2025-07-18,EUPHORIA,1.0,0.3,0.7
2025-07-20,RISK_ON,0.3,1.0,0.7
2025-07-27,RISK_ON,1.0,0.4,0.6
2025-07-28,RISK_ON,0.4,1.0,0.6
2025-07-30,RANGE_BOUND,1.0,0.4,0.6
2025-08-03,RISK_OFF,0.4,0.2,0.2
2025-08-08,RANGE_BOUND,0.2,0.4,0.2
2025-08-12,RISK_ON,0.4,1.0,0.6
2025-08-16,RANGE_BOUND,1.0,0.4,0.6
2025-08-21,RISK_OFF,0.4,0.2,0.2
2025-08-24,RISK_OFF,0.2,0.4,0.2
2025-08-25,RISK_OFF,0.4,0.2,0.2
2025-09-05,RANGE_BOUND,0.2,0.4,0.2
2025-09-07,RISK_OFF,0.4,0.2,0.2
2025-09-10,RANGE_BOUND,0.2,0.4,0.2
2025-09-13,RISK_ON,0.4,1.0,0.6
2025-09-24,RANGE_BOUND,1.0,0.4,0.6
2025-09-27,RISK_OFF,0.4,0.2,0.2
2025-10-01,RANGE_BOUND,0.2,0.4,0.2
2025-10-03,RISK_ON,0.4,1.0,0.6
2025-10-12,RISK_OFF,1.0,0.4,0.6
2025-10-13,RISK_OFF,0.4,0.2,0.2
2025-10-27,RANGE_BOUND,0.2,0.4,0.2
2025-10-29,RANGE_BOUND,0.4,0.2,0.2
2025-10-30,RISK_OFF,0.2,0.4,0.2
2025-10-31,RISK_OFF,0.4,0.2,0.2
2025-11-02,RANGE_BOUND,0.2,0.4,0.2
2025-11-05,RISK_OFF,0.4,0.2,0.2
2025-11-19,RISK_OFF,0.2,0.1,0.1
2025-11-20,CAPITULATION,0.1,0.2,0.1
2025-11-21,CAPITULATION,0.2,0.1,0.1
2025-11-23,CAPITULATION,0.1,0.2,0.1
2025-11-24,RISK_OFF,0.2,0.1,0.1
2025-11-25,RISK_OFF,0.1,0.2,0.1
2025-12-05,RANGE_BOUND,0.2,0.4,0.2
2025-12-16,RISK_OFF,0.4,0.2,0.2
2025-12-27,RANGE_BOUND,0.2,0.4,0.2
2026-01-03,RISK_ON,0.4,1.0,0.6
2026-01-11,RANGE_BOUND,1.0,0.4,0.6
2026-01-15,RISK_ON,0.4,1.0,0.6
2026-01-21,RISK_OFF,1.0,0.4,0.6
2026-01-22,RISK_OFF,0.4,0.2,0.2
2026-02-02,CAPITULATION,0.2,0.1,0.1
2026-02-04,CAPITULATION,0.1,0.2,0.1
2026-02-05,CAPITULATION,0.2,0.1,0.1
2026-02-21,RISK_OFF,0.1,0.2,0.1
2026-02-27,RANGE_BOUND,0.2,0.4,0.2
2026-03-01,RISK_OFF,0.4,0.2,0.2
2026-03-04,RANGE_BOUND,0.2,0.4,0.2
2026-03-09,RISK_OFF,0.4,0.2,0.2
2026-03-11,RANGE_BOUND,0.2,0.4,0.2
2026-03-15,RISK_ON,0.4,1.0,0.6
2026-03-20,RANGE_BOUND,1.0,0.4,0.6
2026-03-24,RANGE_BOUND,0.4,0.2,0.2
2026-03-25,RISK_OFF,0.2,0.4,0.2
2026-03-26,RANGE_BOUND,0.4,0.2,0.2
2026-03-27,RISK_OFF,0.2,0.4,0.2
2026-03-28,RISK_OFF,0.4,0.2,0.2
2026-04-07,RISK_OFF,0.2,0.4,0.2
2026-04-08,RANGE_BOUND,0.4,0.2,0.2
2026-04-09,RANGE_BOUND,0.2,0.4,0.2
2026-04-11,RISK_ON,0.4,1.0,0.6
2026-04-14,RISK_ON,1.0,0.4,0.6
2026-04-15,RISK_ON,0.4,1.0,0.6
2026-05-01,RANGE_BOUND,1.0,0.4,0.6
2026-05-04,RANGE_BOUND,0.4,1.0,0.6
2026-05-05,RISK_ON,1.0,0.4,0.6
2026-05-06,RISK_ON,0.4,1.0,0.6
2026-05-15,RISK_ON,1.0,0.4,0.6
2026-05-16,RANGE_BOUND,0.4,1.0,0.6
2026-05-17,RISK_OFF,1.0,0.4,0.6
2026-05-18,RISK_OFF,0.4,0.2,0.2
2026-05-27,RANGE_BOUND,0.2,0.4,0.2
2026-05-29,RISK_OFF,0.4,0.2,0.2
2026-06-04,CAPITULATION,0.2,0.1,0.1
2026-06-11,RISK_OFF,0.1,0.2,0.1
